Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	Chara_braunii	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may
(null)	OG0000274	10	0	8	7	12	3	0	2	0	13	10	1	24	2	4	0	10	7	16	1	22
(null)	OG0000571	11	1	2	8	6	1	3	1	2	8	12	2	8	2	6	3	4	4	5	1	10
(null)	OG0000640	11	1	2	5	4	4	2	1	2	7	3	1	9	10	3	3	5	2	6	1	11
(null)	OG0001464	3	1	2	3	3	2	1	1	1	4	4	1	5	3	5	3	4	1	3	1	5
(null)	OG0001580	4	1	1	2	4	2	1	1	1	2	4	1	4	7	5	3	2	3	2	1	3
(null)	OG0001665	7	2	3	4	4	3	0	1	0	3	4	0	5	0	1	0	3	1	4	0	7
(null)	OG0001936	2	1	2	3	2	1	1	1	1	3	5	2	2	3	5	3	1	2	3	1	4
(null)	OG0002104	1	1	1	2	2	2	1	1	1	2	6	1	1	5	3	3	2	1	2	3	5
(null)	OG0002287	2	0	2	3	4	2	1	1	2	1	1	1	2	2	3	7	2	2	1	1	4
(null)	OG0002657	1	1	1	1	1	16	1	1	1	1	2	1	2	1	1	3	1	1	1	1	1
(null)	OG0002668	2	2	1	2	2	1	2	1	1	2	2	2	2	3	2	3	2	1	2	1	4
(null)	OG0002809	3	0	1	1	2	1	1	1	0	2	3	1	2	3	1	3	2	1	2	0	9
(null)	OG0003284	3	1	1	2	1	1	2	1	1	1	2	1	2	3	1	4	1	1	2	1	3
(null)	OG0004673	1	1	2	0	2	1	1	1	1	1	3	1	1	2	1	3	2	1	1	1	2
(null)	OG0005472	1	1	1	2	1	1	1	1	1	1	2	2	1	2	1	3	1	1	1	1	1
(null)	OG0005797	1	1	1	0	1	1	1	1	1	1	2	1	2	2	2	3	1	1	1	1	1
(null)	OG0007661	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1
(null)	OG0016777	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
