Desc	Orthogroup	Arabidopsis_thaliana	Anthoceros_angustus	Amborella_trichopoda	Azolla_filiculoides	Ceratopteris_richardii	Selaginella_moellendorffii	Chara_braunii	Klebsormidium_flaccidum	Mesotaenium_endlicherianum	Oryza_sativa	Pinus_lambertiana	Marchantia_polymorpha	Populus_trichocarpa	Physcomitrella_patens	Sequoiadendron_giganteum	Spirogloea_muscicola	Salvinia_cucullata	Gnetum_montanum	Vitis_vinifera	Volvox_carteri	Zea_may
(null)	OG0000319	9	1	7	9	11	9	1	1	2	12	4	1	13	6	3	2	8	4	6	1	29
(null)	OG0000512	14	1	9	3	8	3	0	1	0	13	7	0	12	0	5	0	5	4	7	0	14
(null)	OG0000654	9	0	5	6	7	2	0	0	0	6	8	1	12	0	7	0	5	7	7	0	10
(null)	OG0000800	3	2	3	5	6	3	6	3	1	3	5	2	4	15	2	0	6	3	3	2	4
(null)	OG0001286	6	0	3	1	2	1	1	2	1	4	0	1	6	8	5	0	1	3	6	4	6
(null)	OG0001499	4	2	1	5	3	3	2	1	1	2	7	1	4	2	2	3	3	3	2	2	2
(null)	OG0001836	3	1	2	3	2	1	1	1	1	2	2	1	3	2	4	4	2	6	2	3	3
(null)	OG0001922	3	3	1	2	1	2	0	1	1	2	3	1	3	2	9	0	2	1	5	1	5
(null)	OG0002097	2	1	2	3	2	1	1	1	1	1	6	1	4	3	4	3	2	2	3	1	2
(null)	OG0002218	4	1	2	2	1	1	3	1	2	1	4	1	1	1	8	3	1	1	4	1	1
(null)	OG0002400	3	2	2	2	4	0	1	1	1	1	2	0	4	3	5	0	1	5	4	0	1
(null)	OG0002655	3	1	2	1	1	1	2	1	1	3	3	1	4	4	3	0	1	3	2	1	2
(null)	OG0002735	1	1	1	1	1	1	3	1	3	2	2	1	1	1	8	3	2	1	1	3	1
(null)	OG0002834	2	1	1	4	3	1	1	2	2	1	2	1	2	4	1	3	2	1	1	1	2
(null)	OG0003396	2	0	1	1	1	0	2	1	4	2	2	1	3	3	4	3	1	1	1	0	2
(null)	OG0003844	1	1	1	1	2	2	2	1	2	1	1	1	2	1	5	3	1	1	1	1	1
(null)	OG0004420	1	1	1	1	1	1	1	1	1	1	2	1	1	4	2	3	2	2	1	1	1
(null)	OG0004635	1	1	1	1	2	1	1	1	0	2	3	1	1	1	2	3	2	1	1	1	2
(null)	OG0004716	2	1	0	1	1	1	1	0	0	3	0	1	2	2	0	0	1	10	2	0	1
(null)	OG0004763	2	1	2	2	1	1	1	1	1	1	2	1	2	3	0	3	1	1	1	1	1
(null)	OG0005268	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	3	1	1	1	1	2
(null)	OG0005485	2	1	1	2	2	3	0	0	0	1	1	1	1	4	3	0	2	1	1	0	1
(null)	OG0005781	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1	1	1	2
(null)	OG0006116	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2	5	1	1	1	1	1
(null)	OG0006162	1	2	1	1	1	3	1	0	0	2	1	0	2	1	3	0	1	1	1	1	2
(null)	OG0007948	1	1	1	1	1	1	2	1	0	1	1	1	1	1	0	3	0	1	1	0	1
(null)	OG0008166	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	3	1	1	1	0	1
(null)	OG0008371	2	1	1	1	1	0	0	0	0	1	0	1	2	1	1	0	1	2	2	0	1
(null)	OG0008632	1	1	1	0	1	0	0	1	0	1	0	1	1	2	0	3	0	1	1	1	1
(null)	OG0009152	2	0	1	0	0	0	0	0	0	2	0	0	3	0	2	0	0	1	2	0	2
(null)	OG0009707	1	0	1	1	1	0	0	0	0	1	0	2	2	1	0	0	0	1	1	0	1
(null)	OG0011991	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	1
(null)	OG0019547	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
