#FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>	
OG0000113	0.0988208	0.574094	0.153	0.603408	0.582093	0.0164213	0.0863208	0.0017377	0.258253	0.262956	0.184063	0.527373	0.124897	0.00146445	0.187627	3.08088e-06	0.00198263	1.0207e-15	0.212648	0.599226	0.563796	0.136394	0.431381	0.362107	0.0250612	0.334274	0.776823	0.441467	0.163011	0.260493	0.0310388	0.716055	0.671227	0.196539	0.644422	0.416796	0.00213637	0.31778	0.901777	N/A
OG0000177	0.347199	0.890751	0.676164	0.830056	0.162932	0.0426135	0.0918984	0.238063	0.768369	0.484047	0.237214	0.847754	0.0950415	0.37308	0.729778	0.294768	0.147027	2.9988e-10	0.736547	0.836918	0.139313	0.0199814	0.066645	0.310607	0.212372	0.334274	0.732997	0.358378	0.129354	0.411804	0.699065	0.6735	0.642511	0.148642	0.618728	0.35548	0.225706	0.659778	0.304831	N/A
OG0000364	0.290093	0.436411	0.646967	0.487986	0.444833	0.0197792	0.263343	1.56537e-06	0.735493	0.87042	0.294492	0.137695	0.623693	0.311743	0.697087	0.85725	0.734424	0.0583502	0.703668	0.810055	0.281903	0.619141	0.825331	0.248815	0.164005	0.876288	0.703831	0.302327	0.093867	0.670305	0.671336	0.647652	0.609224	0.42989	0.589794	0.629682	0.154839	0.623708	0.0344513	N/A
OG0000455	0.320006	0.316297	0.662118	0.298433	0.758822	0.4273	0.867229	0.000475365	0.176334	0.629355	0.0448087	0.82268	0.623693	0.311743	0.697087	0.85725	0.754701	0.397916	0.703668	0.810055	0.57905	0.71875	0.0682939	0.0914818	0.852829	0.576654	0.668062	0.863104	0.00799239	0.0276232	0.638713	0.618069	0.570517	0.704943	0.557148	0.523204	0.288303	0.58076	0.477206	N/A
OG0000701	0.257206	0.248277	0.630608	0.783439	0.705667	0.716254	0.81426	0.0141918	0.715237	0.237243	0.768015	0.0785056	0.577381	0.327505	0.677819	3.22839e-05	0.0905767	0.420914	0.637344	0.0663452	0.57905	0.71875	0.740474	0.134059	0.00456907	0.356764	0.668062	0.863104	0.600116	0.571743	0.638713	0.618069	0.570517	0.704943	0.557148	0.827387	0.512773	0.58076	0.477206	N/A
OG0000804	0.795729	0.399108	0.630608	0.783439	0.366903	0.071779	0.282509	0.0780546	0.129454	0.841831	0.354923	0.716911	0.577381	0.185438	0.0794998	0.477762	0.279721	0.00126896	0.637344	0.739785	0.728971	0.75	0.777808	0.738335	0.321377	0.727208	0.568878	0.036545	0.626517	0.161804	0.554448	0.545058	0.038481	0.0169895	0.557148	0.1634	0.00178215	0.58076	0.12855	N/A
OG0001006	0.00831498	0.824521	0.593811	0.0254213	0.141231	0.716254	0.282509	0.00557992	0.664528	0.818927	0.768015	0.754729	0.577381	0.185438	0.631997	0.12826	0.682155	0.805537	0.637344	0.739785	0.487785	0.25	0.173817	0.134059	0.252754	0.485204	0.623868	0.0261342	0.038006	0.810864	0.60017	0.58412	0.548818	0.655356	0.539265	0.428874	0.773906	0.556242	0.382463	N/A
OG0001422	0.181781	0.523835	0.593811	0.358532	0.188268	0.633527	0.415224	0.0920876	0.664528	0.154759	0.5	0.5	0.623693	0.463586	0.239467	0.0871685	0.087624	0.634262	0.0250234	0.768924	0.728971	0.75	0.283359	0.00129418	0.725428	0.727208	0.568878	0.343259	0.570535	0.47993	0.554448	0.545058	0.548818	0.233796	0.539265	0.428874	0.773906	0.556242	0.751642	N/A
OG0001666	0.706319	0.791559	0.573114	0.0369098	0.669759	0.0115693	0.0290382	0.288645	0.632719	0.785177	0.768015	0.0785056	0.0322208	0.13305	0.604731	0.410629	0.0905767	0.420914	0.609261	0.702156	0.728971	0.75	0.740474	0.700744	0.321377	0.121755	0.568878	0.742071	0.038006	0.47993	0.554448	0.545058	0.548818	0.233796	0.539265	0.780468	0.418174	0.556242	0.751642	N/A
OG0002135	0.0939072	0.739583	0.550692	0.218642	0.625273	0.0776447	0.727185	0.731175	0.59546	0.732742	0.730354	0.0201922	0.5412	0.755646	0.573995	0.710979	0.648346	2.46638e-06	0.577413	0.652901	0.487785	0.625	0.117938	0.651663	0.252754	0.485204	0.623868	0.506628	0.570535	0.12981	0.60017	0.58412	0.548818	0.655356	0.539265	0.428874	0.20119	0.556242	0.382463	N/A
OG0002162	0.0939072	0.363426	0.550692	0.218642	0.0123173	0.633527	0.100838	0.105065	0.59546	0.732742	0.678369	0.100926	0.0214961	0.388827	0.573995	0.318878	0.607828	0.328426	0.577413	0.652901	0.0670772	0.625	0.687881	0.651663	0.252754	0.25507	0.623868	0.82599	0.570535	0.47993	0.60017	0.58412	0.548818	0.655356	0.539265	0.428874	0.418174	0.556242	0.382463	N/A
