FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG0000113	+3	+1	+1	-1	-1	+4	+4	+8	+1	+2	-2	-1	+1	-7	+1	-8	-4	+26	+1	-1	+1	+5	+1	+1	-4	-2	+0	-2	+1	-3	-2	+0	+0	-2	+0	-2	+8	-1	+0	+0
OG0000177	+1	+0	+0	+0	-2	+3	+3	+2	+0	+1	-2	+0	+1	-2	+0	-2	-2	+18	+0	+0	-3	+8	+3	+1	+2	-2	+0	-2	+1	-2	+0	+0	+0	-2	+0	-2	+2	+0	-2	+0
OG0000302	+1	+0	+0	+0	-2	+1	+1	+4	+0	-1	+1	-2	+0	-2	+0	-2	+0	+4	+1	+0	+1	-5	+1	+1	+5	-1	+0	+1	+0	-2	+0	+0	+0	+0	+0	-2	+2	+0	+0	+0
OG0000364	+1	+1	+0	-1	-1	+3	-2	+11	+0	+0	+1	-2	+0	-2	+0	+0	+0	+3	+0	+0	-2	+0	+0	+1	+2	+0	+0	-2	+1	-1	+0	+0	+0	-1	+0	-1	+2	+0	-3	+0
OG0000455	+1	-2	+0	+1	+0	-1	+0	+7	+1	-1	+3	+0	+0	-2	+0	+0	+0	+1	+0	+0	-1	-2	+2	+2	+0	-1	+0	+0	+2	-3	+0	+0	+0	+0	+0	-1	+1	+0	-1	+0
OG0000688	+2	+1	+0	+0	+2	-2	-2	+2	+0	+1	+0	+0	+0	+1	+0	-1	+0	+1	+0	+1	+1	-2	-1	+1	-1	-1	+0	+0	+0	-2	-1	+0	+0	-2	+0	+4	-1	+0	+1	+0
OG0000701	+1	-2	+0	+0	+0	+0	+0	-3	+0	-2	+0	+2	+0	+1	+0	+8	+1	-1	+0	+2	-1	-2	+0	+1	+5	+1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	-1	+0	-1	+0
OG0000758	+1	-1	+0	+0	+1	+0	+1	+1	+0	+1	+0	+0	+0	+1	+0	-1	+0	+1	+0	+0	-1	-1	+0	+1	+1	+0	+0	-1	+1	-1	+0	+0	+0	-1	+0	-1	+4	+0	-1	+0
OG0000803	+1	+1	+1	+0	-1	+2	+0	+6	+0	+0	-1	+2	+0	-1	+0	-1	+0	+0	+0	+0	-1	-2	+0	+1	+2	+0	+0	-1	+0	+1	+0	+0	+0	+0	+0	-1	+2	+0	-1	+0
OG0000804	+0	+1	+0	+0	-1	+2	+1	+2	+1	+0	-1	+0	+0	-2	+1	-1	-1	+5	+0	+0	+0	-1	+0	+0	-1	+0	+0	+2	+0	+2	+0	+0	+1	-2	+0	-2	+5	+0	-2	+0
