FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG0000113	16	14	13	11	12	17	17	21	12	13	5	6	13	5	11	2	7	37	12	10	8	12	11	11	1	3	7	5	10	6	5	7	9	7	9	7	18	9	10	10
OG0000177	10	9	9	9	8	13	13	12	9	10	7	9	10	7	9	7	9	29	9	9	2	13	11	9	7	3	5	3	8	5	5	5	7	5	7	5	9	7	5	7
OG0000302	8	7	7	7	4	7	9	12	7	6	8	5	8	6	7	5	7	11	8	7	7	1	7	7	11	5	6	7	6	4	6	6	6	6	6	4	8	6	6	6
OG0000364	8	8	7	6	6	10	5	18	7	7	7	4	7	5	7	7	6	9	7	7	2	4	6	7	6	4	4	2	6	4	4	4	5	4	5	4	7	5	2	5
OG0000455	9	6	8	9	6	5	7	14	8	6	10	7	7	5	7	7	7	8	7	7	2	1	7	7	3	2	3	3	5	0	3	3	3	3	3	2	4	3	2	3
OG0000688	8	7	6	6	9	5	3	7	6	7	3	3	5	6	6	5	3	4	5	6	3	0	3	5	0	0	2	2	4	2	1	2	4	2	4	8	3	4	5	4
OG0000701	7	4	6	6	4	4	4	1	6	4	4	6	4	5	6	14	4	2	4	6	2	1	3	4	8	4	3	3	3	2	3	3	3	3	3	3	2	3	2	3
OG0000758	6	4	5	5	7	6	6	6	5	6	4	4	5	6	5	4	4	5	5	5	1	1	4	5	3	2	2	1	4	2	2	2	3	2	3	2	7	3	2	3
OG0000803	6	6	5	4	3	6	4	10	4	4	2	5	4	3	4	3	3	3	4	4	2	1	3	4	5	3	3	2	3	4	3	3	3	3	3	2	5	3	2	3
OG0000804	6	7	6	6	4	7	5	6	6	5	2	3	4	2	5	3	3	9	4	4	1	0	4	4	0	1	1	3	4	6	1	1	4	1	3	1	8	3	1	3
