#FamilyID	Likelihood of Family
OG0000113	-129.089
OG0000177	-82.1953
OG0000302	-56.787
OG0000364	-65.0833
OG0000455	-57.3964
OG0000688	-51.6219
OG0000701	-57.6924
OG0000758	-43.1767
OG0000803	-51.0501
OG0000804	-60.3016
OG0000854	-45.8044
OG0000904	-50.9292
OG0000989	-44.633
OG0001006	-50.6772
OG0001422	-48.0838
OG0001500	-34.524
OG0001623	-37.8521
OG0001628	-43.6757
OG0001639	-41.2374
OG0001660	-44.8213
OG0001666	-47.3512
OG0001740	-38.4017
OG0001848	-38.6294
OG0001903	-32.2926
OG0001928	-35.7944
OG0001953	-40.6899
OG0002135	-48.2452
OG0002162	-45.5877
OG0002223	-35.6368
OG0002228	-40.3959
OG0002245	-38.783
OG0002360	-41.3426
OG0002427	-35.4268
OG0002450	-30.3437
OG0002711	-35.0154
OG0002733	-34.708
OG0002768	-39.9523
OG0002780	-36.5359
OG0002782	-35.722
OG0002873	-40.7516
OG0002971	-37.0519
OG0003159	-36.8914
OG0003271	-43.3347
OG0003324	-31.9002
OG0003458	-36.6406
OG0003530	-35.6208
OG0003656	-34.7374
OG0003720	-30.6106
OG0003909	-32.8084
OG0004086	-29.5359
OG0004095	-30.5273
OG0004113	-31.5288
OG0004142	-32.1401
OG0004148	-38.3898
OG0004158	-34.5095
OG0004161	-28.6652
OG0004377	-31.5637
OG0004402	-28.6538
OG0004937	-26.4613
OG0004945	-30.1043
OG0004972	-29.0841
OG0005001	-27.4175
OG0005036	-27.0228
OG0005427	-24.7871
OG0005432	-30.8407
OG0005458	-29.7387
OG0005609	-29.3684
OG0005653	-24.155
OG0005673	-24.6861
OG0005799	-29.211
OG0005901	-23.9948
OG0005957	-27.2842
OG0005972	-27.3396
OG0006194	-22.8059
OG0006538	-32.1316
OG0006767	-21.4604
OG0006890	-28.2974
OG0007302	-22.691
OG0007414	-27.9801
OG0007760	-22.2777
OG0008337	-25.6395
OG0008930	-25.9585
