#FamilyID	pvalue	Significant at 0.05
OG0000113	0	y
OG0000177	0	y
OG0000302	0.057	n
OG0000364	0	y
OG0000455	0.006	y
OG0000688	0.076	n
OG0000701	0.005	y
OG0000758	0.566	n
OG0000803	0.056	n
OG0000804	0.003	y
OG0000854	0.346	n
OG0000904	0.082	n
OG0000989	0.247	n
OG0001006	0.018	y
OG0001422	0.022	y
OG0001500	0.932	n
OG0001623	0.526	n
OG0001628	0.067	n
OG0001639	0.489	n
OG0001660	0.059	n
OG0001666	0.03	y
OG0001740	0.837	n
OG0001848	0.469	n
OG0001903	0.861	n
OG0001928	0.893	n
OG0001953	0.13	n
OG0002135	0.026	y
OG0002162	0.041	y
OG0002223	0.761	n
OG0002228	0.244	n
OG0002245	0.321	n
OG0002360	0.165	n
OG0002427	0.574	n
OG0002450	0.923	n
OG0002711	0.615	n
OG0002733	0.75	n
OG0002768	0.259	n
OG0002780	0.742	n
OG0002782	0.712	n
OG0002873	0.185	n
OG0002971	0.362	n
OG0003159	0.498	n
OG0003271	0.159	n
OG0003324	0.978	n
OG0003458	0.519	n
OG0003530	0.669	n
OG0003656	0.521	n
OG0003720	0.877	n
OG0003909	0.62	n
OG0004086	0.949	n
OG0004095	0.907	n
OG0004113	0.795	n
OG0004142	0.809	n
OG0004148	0.224	n
OG0004158	0.262	n
OG0004161	0.949	n
OG0004377	0.763	n
OG0004402	0.925	n
OG0004937	0.87	n
OG0004945	0.865	n
OG0004972	0.746	n
OG0005001	0.953	n
OG0005036	0.994	n
OG0005427	0.941	n
OG0005432	0.589	n
OG0005458	0.918	n
OG0005609	0.647	n
OG0005653	0.997	n
OG0005673	0.979	n
OG0005799	0.841	n
OG0005901	0.951	n
OG0005957	0.925	n
OG0005972	0.978	n
OG0006194	0.97	n
OG0006538	0.916	n
OG0006767	0.947	n
OG0006890	0.913	n
OG0007302	0.969	n
OG0007414	0.747	n
OG0007760	0.961	n
OG0008337	0.865	n
OG0008930	0.786	n
