FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG0000274	+9	-5	+0	+1	-3	+6	-3	+3	+2	+3	+2	-1	+0	+0	+3	-2	+0	+4	+0	+3	+1	+0	+2	+1	-1	-1	+0	-1	+3	+0	+0	+0	+1	-1	+0	-2	+0	+0	-1	+0
OG0000571	+1	+4	+1	-1	+0	+2	+0	+6	+0	+2	-1	+3	+1	-1	+1	-3	+0	+1	+0	+0	-1	-1	+1	+1	+1	+0	+0	+1	+2	-1	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0
OG0000640	+1	+3	+1	-1	-1	+3	+0	+0	+1	+2	+0	+0	+0	-1	+2	-2	+1	+0	+0	+1	-1	-1	+1	+0	+1	+0	+0	+0	+0	+1	+0	+0	+0	-1	+0	-2	+7	+0	-2	+0
OG0001464	+2	+0	+0	+0	+0	+1	+2	+1	+0	+1	+1	+0	+0	-2	+0	-1	+0	+0	+0	+0	-1	-1	+0	+0	+1	-1	+0	-1	+1	+0	+0	+0	+0	+0	+0	-1	+1	+0	-1	+0
OG0001580	+1	+1	+0	-1	-1	+0	+2	+1	+0	+0	+0	+0	+0	+0	+0	-2	+0	+2	+0	+0	-1	-1	+0	+1	+1	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	-1	+5	+0	-1	+0
OG0001936	+0	+0	+0	+1	+0	+1	+2	+2	+0	+1	-1	+1	+1	+0	+0	+0	+0	+0	+0	+0	-1	-1	+0	+0	+1	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+1	+0	+0	+0
OG0002104	-1	-1	+0	+0	-1	+2	+0	+3	+0	+1	+0	+0	+1	-1	+0	-1	+0	+0	+0	+0	-1	+1	+0	+0	+1	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	-1	+3	+0	-1	+0
OG0002287	+0	+0	+0	-1	-1	+2	+1	-1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	-1	+1	+0	+5	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	-2	+0	+0	-1	+0
OG0002657	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+15	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG0002668	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0	-1	-1	+0	+0	+1	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG0002809	+0	+1	+0	+0	-1	+6	+0	+2	+0	+1	+1	+0	+0	+0	+1	+0	+0	+1	+0	+0	+0	-1	+0	+0	+2	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+2	+0	+0	+0
OG0003284	+0	+1	+0	+0	-1	+1	+0	+1	+0	+0	+0	+1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0
OG0004673	+0	+0	+0	+0	+0	+1	+0	+2	+0	+0	+1	-1	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG0005472	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+1	+0
OG0005797	+1	+0	+0	+0	+0	+0	+1	+1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG0007661	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
