FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG0000274	24	10	15	16	13	22	4	10	15	16	10	7	7	7	13	8	8	12	7	10	2	1	8	7	0	0	1	0	6	3	1	1	3	1	2	0	2	2	1	2
OG0000571	8	11	7	5	8	10	6	12	6	8	4	8	6	4	6	2	5	6	5	5	1	1	5	5	3	2	2	3	4	1	2	2	2	2	2	1	2	2	2	2
OG0000640	9	11	8	6	7	11	3	3	7	8	5	5	3	2	6	2	5	4	3	4	1	1	4	3	3	2	2	2	3	4	2	2	3	2	3	1	10	3	1	3
OG0001464	5	3	3	3	4	5	5	4	3	4	4	3	3	1	3	2	3	3	3	3	1	1	3	3	3	1	2	1	3	2	2	2	2	2	2	1	3	2	1	2
OG0001580	4	4	3	2	2	3	5	4	3	3	2	2	3	3	3	1	2	4	3	3	1	1	2	3	3	1	2	1	2	2	2	2	2	2	2	1	7	2	1	2
OG0001936	2	2	2	3	3	4	5	5	2	3	1	3	3	2	2	2	2	2	2	2	1	1	2	2	3	1	2	1	2	1	2	2	2	2	2	1	3	2	2	2
OG0002104	1	1	2	2	2	5	3	6	2	3	2	2	3	1	2	1	2	2	2	2	1	3	2	2	3	1	2	1	2	2	2	2	2	2	2	1	5	2	1	2
OG0002287	2	2	2	1	1	4	3	1	2	2	2	3	2	2	2	2	3	4	2	2	1	1	3	2	7	2	2	1	2	2	2	2	2	2	2	0	2	2	1	2
OG0002657	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	16	1	1	1	1	1	1	1	1	1	1
OG0002668	2	2	2	2	2	4	2	2	2	2	2	2	2	1	2	1	2	2	2	2	1	1	2	2	3	1	2	2	2	1	2	2	2	2	2	2	3	2	2	2
OG0002809	2	3	2	2	2	9	1	3	2	3	2	1	1	1	2	1	1	2	1	1	1	0	1	1	3	0	1	1	1	1	1	1	1	1	1	0	3	1	1	1
OG0003284	2	3	2	2	1	3	1	2	2	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	4	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1
OG0004673	1	1	1	1	1	2	1	3	1	1	2	0	1	1	1	2	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG0005472	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
OG0005797	2	1	1	1	1	1	2	2	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG0007661	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
