FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG0000319	+4	+0	+1	-2	-3	+14	-1	+0	+0	+7	+0	+1	+0	+0	+1	+0	+0	+3	-1	+2	-1	-1	+3	+0	+0	+0	+0	-1	+0	+4	+0	+0	+1	-2	+0	-3	+2	+0	-3	+0
OG0000800	+1	+0	+0	+0	+0	+1	-1	+2	+0	+0	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	-1	+2	+0	-2	-1	+0	+3	+0	+0	-1	+0	+0	+0	+0	-1	+12	+0	-1	+0
OG0001286	+0	+0	+0	+0	-1	+1	+2	-3	+1	+0	+0	+0	+0	+0	+1	-1	-1	+0	+0	+1	+0	+2	+0	+1	-2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-2	+6	+0	-1	+0
OG0001499	+1	+1	+1	+0	+0	+0	+0	+5	+0	+0	+0	+2	+0	+1	+0	-1	+0	+0	+0	+0	-1	+0	+1	+0	+1	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0
OG0001836	+0	+0	+0	-1	-1	+0	+1	-1	+0	+0	+0	+1	+0	+3	+0	-1	+0	+0	+0	+0	-1	+1	+0	+1	+2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	-1	+0
OG0001922	+0	+0	+0	+2	-1	+2	+6	+0	+0	+0	+0	+0	+0	-2	+0	-2	+0	-1	+0	+0	+0	+0	+0	+1	-1	+0	+0	-1	+0	+0	+0	+0	+0	-1	+0	+1	+0	+0	-1	+0
OG0002097	+1	-1	+0	+0	-1	+0	+1	+3	+0	-1	+0	+1	+0	-1	+0	-1	+0	+0	+0	+0	-1	-1	+0	+1	+1	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+1	+0	-1	+0
OG0002218	-1	+2	+0	+2	+0	+0	+5	+1	+0	-1	+0	+1	+1	-1	+0	+0	+0	+0	+0	+0	-1	-1	+0	+1	+1	+0	+0	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0
OG0002655	+1	+0	+0	-1	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+2	-1	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0
OG0002735	+0	+0	+0	+0	+1	+0	+6	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0	+0	+0	-1	+1	+0	+0	+1	+1	+0	+1	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0
OG0002834	+0	+0	+0	-1	-1	+0	-1	+0	+0	+0	-1	+1	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+1	+0	+1	+0	+0	-1	+0	-1	+0	+0	+0	+0	+0	-1	+2	+0	-1	+0
OG0003396	+1	+0	+0	-1	+0	+0	+2	+0	+0	+0	+0	+0	+0	-1	+0	-1	+0	+0	+0	+0	-1	-2	-1	+0	+1	+2	+0	+0	+0	-2	+0	+0	+0	+0	+0	-2	+1	+0	-1	+0
OG0003844	+1	+0	+0	+0	+0	+0	+4	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	-1	-1	+0	+0	+1	+0	+0	+0	+0	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0
OG0004420	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0
OG0004635	+0	+0	+0	+0	+0	+0	+1	+2	+0	+1	+1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+2	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG0004716	+0	+0	+0	+0	+1	-1	-1	-1	+0	+0	+0	+0	+0	+9	+1	-1	+0	+0	+0	+0	-1	-1	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG0004763	+0	+0	+1	+0	+0	+0	-1	+1	+0	+0	+0	+1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0
OG0005268	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG0005485	+0	+1	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+2	+0	+0	+0	-1	+0	+0	+3	+0	+0	+0
OG0005781	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+3	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG0006116	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+4	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG0007948	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+2	-1	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG0008166	+0	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+2	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
OG0008371	+0	+0	+0	+0	+0	+0	+0	-1	+1	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0
OG0008632	+0	+0	+0	+0	+0	+0	-1	-1	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+2	-1	+0	-1	+0	-1	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
OG0009707	+1	+0	+0	+0	+0	+0	-1	-1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	-1	+0	-1	+0	+0	+1	+0
