FamilyID	Populus_trichocarpa<0>	Arabidopsis_thaliana<1>	<2>	Vitis_vinifera<3>	Oryza_sativa<4>	Zea_may<5>	Sequoiadendron_giganteum<6>	Pinus_lambertiana<7>	<8>	<9>	Salvinia_cucullata<10>	Azolla_filiculoides<11>	<12>	Gnetum_montanum<13>	<14>	Amborella_trichopoda<15>	<16>	Ceratopteris_richardii<17>	<18>	<19>	Klebsormidium_flaccidum<20>	Volvox_carteri<21>	<22>	<23>	Spirogloea_muscicola<24>	Mesotaenium_endlicherianum<25>	<26>	Chara_braunii<27>	<28>	Selaginella_moellendorffii<29>	<30>	<31>	<32>	<33>	<34>	Anthoceros_angustus<35>	Physcomitrella_patens<36>	<37>	Marchantia_polymorpha<38>	<39>
OG0000319	13	9	9	6	12	29	3	4	8	15	8	9	4	4	8	7	8	11	4	7	1	1	8	5	2	2	2	1	5	9	2	2	5	2	4	1	6	4	1	4
OG0000800	4	3	3	3	3	4	2	5	3	3	6	5	3	3	3	3	5	6	3	3	3	2	5	3	0	1	3	6	3	3	2	3	3	3	3	2	15	3	2	3
OG0001286	6	6	6	6	4	6	5	0	6	5	1	1	3	3	5	3	1	2	3	4	2	4	2	3	0	1	2	1	2	1	2	2	2	2	2	0	8	2	1	2
OG0001499	4	4	3	2	2	2	2	7	2	2	3	5	2	3	2	1	3	3	2	2	1	2	3	2	3	1	2	2	2	3	2	2	2	2	2	2	2	2	1	2
OG0001836	3	3	3	2	2	3	4	2	3	3	2	3	3	6	3	2	2	2	3	3	1	3	2	3	4	1	2	1	2	1	2	2	2	2	2	1	2	2	1	2
OG0001922	3	3	3	5	2	5	9	3	3	3	2	2	3	1	3	1	2	1	3	3	1	1	2	3	0	1	1	0	2	2	1	1	2	1	2	3	2	2	1	2
OG0002097	4	2	3	3	1	2	4	6	3	2	2	3	3	2	3	2	2	2	3	3	1	1	2	3	3	1	2	1	2	1	2	2	2	2	2	1	3	2	1	2
OG0002218	1	4	2	4	1	1	8	4	2	1	1	2	3	1	2	2	1	1	2	2	1	1	1	2	3	2	2	3	1	1	2	2	1	2	1	1	1	1	1	1
OG0002655	4	3	3	2	3	2	3	3	3	3	1	1	3	3	3	2	1	1	3	3	1	1	1	3	0	1	1	2	1	1	1	1	1	1	1	1	4	1	1	1
OG0002735	1	1	1	1	2	1	8	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	1	1	3	3	2	3	1	1	2	2	1	2	1	1	1	1	1	1
OG0002834	2	2	2	1	1	2	1	2	2	2	2	4	2	1	2	1	3	3	2	2	2	1	3	2	3	2	2	1	2	1	2	2	2	2	2	1	4	2	1	2
OG0003396	3	2	2	1	2	2	4	2	2	2	1	1	2	1	2	1	1	1	2	2	1	0	1	2	3	4	2	2	2	0	2	2	2	2	2	0	3	2	1	2
OG0003844	2	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	2	2	2	1	2	2	2	1	2	1	1	1	1	1	1
OG0004420	1	1	1	1	1	1	2	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1
OG0004635	1	1	1	1	2	2	2	3	1	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0004716	2	2	2	2	3	1	0	0	2	2	1	1	1	10	2	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG0004763	2	2	2	1	1	1	0	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1
OG0005268	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
OG0005485	1	2	1	1	1	1	3	1	1	1	2	2	1	1	1	1	2	2	1	1	0	0	2	1	0	0	0	0	1	3	0	0	1	0	1	1	4	1	1	1
OG0005781	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
OG0006116	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
OG0007948	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	3	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1
OG0008166	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	3	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
OG0008371	2	2	2	2	1	1	1	0	2	1	1	1	1	2	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	1	1	1	1	1
OG0008632	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	3	0	1	0	1	0	1	1	1	1	1	1	2	1	1	1
OG0009707	2	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1	0	1	0	1	1	2	1
