#FamilyID	Likelihood of Family
OG0000319	-87.6415
OG0000800	-56.1239
OG0001286	-54.5272
OG0001499	-42.2653
OG0001836	-38.5771
OG0001922	-48.5405
OG0002097	-39.0355
OG0002218	-45.517
OG0002655	-34.8677
OG0002735	-39.5865
OG0002834	-36.2428
OG0003396	-38.1757
OG0003844	-32.6915
OG0004420	-28.8939
OG0004635	-29.1287
OG0004716	-44.4406
OG0004763	-32.0762
OG0005268	-25.8261
OG0005485	-29.159
OG0005781	-24.4905
OG0006116	-23.7804
OG0007948	-23.5312
OG0008166	-21.0503
OG0008371	-21.2431
OG0008632	-26.9639
OG0009707	-24.2562
